Player,Pos,FantasyPoints
D.SPROLES,RB,15.0
K.WHYTE,RB,14.1
D.WATT,RB,13.2
D.BOOKER,RB,12.6
R.FOSTER,WR,12.3
J.ALLEN,RB,11.5
P.DIMARCO,RB,9.8
A.ARMAH,RB,9.7
T.POPE,RB,9.4
K.BARNER,RB,9.12
J.HILLIMAN,RB,8.2
D.SPENCER,WR,7.6999999999999975
T.WESCO,TE,6.9
E.PENNY,RB,6.8
B.HUNDLEY,QB,6.06
T.TAYLOR,QB,6.0200000000000005
J.HOLTON,WR,6.0
A.ROBERTS,WR,5.7
M.LEE,WR,4.9
P.PERKINS,RB,4.8
D.SCOTT,WR,4.7
C.ANDERSON,RB,4.3
K.SMITH,RB,3.1
J.AJAYI,RB,3.0
D.DAWKINS,RB,2.6
W.GRIER,QB,1.3199999999999994
J.SCARLETT,RB,0.9
D.TURNER,RB,0.6
A.MORRIS,RB,0.4
